
Most Significant Differences for: mlpfim
Feature, Min, Max, Diff, % change
:, 4.38, 10.33, 5.94, 135.61
num_speakers, 73, 87, 14, 19.18
IN, 46.67, 54.82, 8.15, 17.45
NN, 82.52, 95.34, 12.82, 15.54
UH, 9.15, 10.46, 1.31, 14.27
JJ, 40.23, 45.68, 5.46, 13.56
NNS, 22.18, 25.16, 2.98, 13.45
DT, 54.41, 60.25, 5.84, 10.73
NNP, 71.04, 76.4, 5.36, 7.55
num_tokens, 181.02, 192.4, 11.38, 6.29
ave_sentence_len, 28.88, 29.73, 0.85, 2.95
TO, 19.73, 20.26, 0.53, 2.7

Most Significant Differences for: mlpaf
Feature, Min, Max, Diff, % change
PRP$, 14.17, 18.44, 4.27, 30.13
MD, 15.89, 20.37, 4.48, 28.2
PRP, 96.0, 113.33, 17.33, 18.05
VB, 54.03, 63.43, 9.41, 17.42
VBD, 16.95, 18.95, 2.0, 11.82
comma, 54.82, 60.34, 5.52, 10.07
VBZ, 22.38, 24.37, 1.99, 8.89
CC, 16.95, 18.05, 1.1, 6.5
VBP, 43.96, 46.67, 2.71, 6.17
VBN, 10.06, 10.31, 0.25, 2.49
